N,P,K,temperatura,umidade,pH,chuva,label
62,29,29,22.56,63.37,6.0,116.19,feijao
38,39,28,28.29,50.87,6.21,100.84,feijao
49,36,33,24.09,57.12,6.44,140.26,feijao
39,28,34,29.16,53.18,6.67,126.94,feijao
39,41,48,23.24,56.78,5.9,59.63,feijao
38,29,35,22.46,59.4,5.56,93.27,feijao
53,24,37,26.46,50.74,6.69,95.48,feijao
37,37,39,24.15,61.23,5.78,89.23,feijao
30,37,27,22.53,65.42,6.48,100.23,feijao
34,35,44,24.28,71.92,6.24,89.8,feijao
41,38,33,25.42,63.74,5.82,51.72,feijao
26,41,26,19.69,60.33,6.97,84.85,feijao
53,38,34,25.84,56.26,6.19,93.04,feijao
38,44,33,22.49,61.22,5.79,85.7,feijao
44,45,38,23.95,62.91,6.59,98.95,feijao
45,28,26,23.39,54.34,6.03,86.42,feijao
50,37,38,24.13,46.15,5.77,81.4,feijao
32,42,47,26.44,56.72,6.62,88.72,feijao
41,33,32,23.22,59.02,6.16,85.08,feijao
49,46,42,21.03,42.68,6.43,50.83,feijao
42,29,20,25.08,62.55,5.9,20.22,feijao
39,40,23,24.37,57.91,6.3,87.99,feijao
35,46,33,23.95,52.4,5.94,62.88,feijao
43,49,24,20.77,66.83,6.03,68.27,feijao
55,33,49,25.36,55.07,6.86,69.86,feijao
52,40,45,27.12,58.19,5.84,96.5,feijao
38,52,36,23.27,59.11,5.63,60.71,feijao
57,33,26,25.07,65.11,6.35,109.9,feijao
37,28,47,23.35,56.5,6.56,98.91,feijao
64,50,39,23.86,70.34,6.09,198.21,cafe
65,38,53,21.27,64.96,5.63,110.84,cafe
80,27,43,21.45,71.84,6.29,181.51,cafe
54,33,47,21.5,79.64,6.17,178.37,cafe
66,43,46,19.41,72.4,5.77,146.78,cafe
65,43,45,22.62,80.21,6.08,225.04,cafe
65,22,51,22.76,77.74,6.24,156.54,cafe
47,33,38,20.84,73.53,6.58,169.87,cafe
48,38,54,20.78,69.2,6.01,140.38,cafe
66,34,48,20.23,67.38,6.25,150.68,cafe
77,32,46,23.87,61.49,5.38,121.86,cafe
72,31,65,20.87,71.11,6.54,210.15,cafe
80,43,53,23.19,74.67,5.81,139.55,cafe
59,33,41,23.39,75.73,6.03,196.94,cafe
48,33,39,18.27,69.5,5.96,197.84,cafe
66,27,59,24.44,73.49,5.92,136.01,cafe
56,42,60,25.09,67.07,5.61,163.52,cafe
42,37,43,21.07,60.43,6.18,146.68,cafe
48,14,44,25.54,79.97,5.84,144.94,cafe
64,28,47,23.53,77.36,5.96,154.91,cafe
51,29,43,22.73,75.48,5.72,197.32,cafe
57,34,39,17.15,75.3,6.26,152.97,cafe
60,38,32,20.94,74.77,5.56,167.34,cafe
46,38,44,18.77,76.99,5.74,139.74,cafe
62,43,36,22.12,72.57,6.24,164.41,cafe
56,29,45,19.86,52.47,6.15,182.6,cafe
36,27,49,26.11,70.12,5.75,155.43,cafe
73,30,38,21.03,64.28,6.04,200.62,cafe
63,33,42,18.87,75.3,5.97,155.49,cafe
91,37,38,21.15,76.89,6.04,124.04,cafe
69,30,59,24.16,67.32,6.45,161.7,cafe
68,38,38,20.71,76.18,5.88,149.91,cafe
50,37,61,19.86,70.15,6.49,158.01,cafe
64,27,48,21.63,75.91,6.42,224.74,cafe
65,37,46,21.29,72.03,5.9,164.21,cafe
103,47,79,30.63,54.29,5.76,54.8,algodao
102,54,62,26.99,60.04,6.69,64.03,algodao
86,52,62,31.23,53.07,6.93,108.03,algodao
99,51,73,27.95,49.58,6.61,40.52,algodao
101,51,71,28.57,53.45,6.71,58.13,algodao
98,45,71,31.88,49.0,6.26,82.85,algodao
91,57,73,29.27,61.66,6.64,63.97,algodao
96,68,68,26.05,61.64,6.46,15.68,algodao
98,51,69,28.66,56.14,6.75,59.11,algodao
95,53,75,29.23,49.39,6.88,56.6,algodao
98,57,84,27.55,52.9,6.49,62.42,algodao
97,43,61,25.86,60.7,7.1,67.39,algodao
88,55,79,26.15,56.43,6.84,82.53,algodao
91,62,48,29.36,51.08,5.86,82.78,algodao
103,54,77,31.22,62.89,7.07,88.55,algodao
90,43,68,26.31,68.03,6.44,73.08,algodao
95,55,83,26.75,56.17,6.24,37.0,algodao
83,54,66,26.62,46.56,6.47,32.38,algodao
97,55,58,27.38,50.49,6.61,103.51,algodao
71,55,68,29.34,56.28,6.24,62.02,algodao
82,62,70,31.8,54.64,6.25,32.16,algodao
71,43,72,29.02,45.51,6.81,57.92,algodao
91,66,77,27.46,49.65,5.75,52.02,algodao
87,48,68,28.15,53.65,6.27,74.22,algodao
94,47,81,27.8,55.11,6.75,75.83,algodao
99,57,65,28.72,48.14,6.54,69.17,algodao
87,54,54,26.9,55.56,6.56,44.31,algodao
102,48,77,28.85,51.12,7.12,40.16,algodao
99,62,64,30.78,53.5,6.6,76.51,algodao
88,60,76,24.5,62.83,5.92,95.81,algodao
101,47,66,25.79,53.71,6.39,89.49,algodao
103,64,65,27.58,44.9,6.22,94.12,algodao
106,46,65,27.95,56.68,6.22,80.6,algodao
85,54,74,28.01,52.38,6.46,67.79,algodao
86,53,82,29.12,53.23,6.74,61.65,algodao
111,77,84,27.9,65.57,5.81,170.15,banana
101,87,102,28.28,78.01,5.57,186.43,banana
92,70,83,26.06,63.12,6.46,173.18,banana
102,89,77,21.94,73.28,6.59,248.96,banana
87,78,81,26.79,90.87,5.67,206.34,banana
104,82,85,27.62,72.65,6.29,191.42,banana
106,72,88,26.94,81.76,6.18,155.67,banana
112,68,79,25.81,83.25,5.45,278.44,banana
110,76,84,27.57,78.13,6.43,213.89,banana
100,73,83,26.61,81.8,6.41,126.49,banana
106,76,84,26.22,81.74,6.53,180.68,banana
104,68,73,25.75,80.17,6.53,212.83,banana
107,78,79,27.86,79.8,6.46,229.72,banana
107,77,93,26.95,69.71,6.14,181.38,banana
93,73,78,26.38,63.64,6.27,200.03,banana
91,79,92,23.78,70.42,5.93,176.5,banana
108,73,82,22.99,78.81,5.77,201.5,banana
102,84,74,20.96,76.1,6.83,230.97,banana
102,71,91,25.05,77.86,6.38,226.51,banana
127,77,80,26.95,64.39,5.96,189.77,banana
94,76,78,29.24,75.0,6.2,191.8,banana
101,80,78,25.68,73.18,5.73,179.52,banana
95,81,87,27.39,80.11,6.15,209.76,banana
98,76,80,22.12,74.19,6.7,223.16,banana
109,83,85,27.39,71.29,6.09,215.39,banana
112,74,81,27.0,78.61,5.69,142.6,banana
94,66,80,26.7,72.28,6.71,208.17,banana
103,79,75,29.08,74.55,6.43,173.2,banana
84,80,88,25.2,69.78,6.59,170.26,banana
116,68,90,26.34,78.62,6.01,195.93,banana
100,67,90,25.97,73.63,5.85,135.94,banana
98,91,91,26.96,73.42,6.21,213.68,banana
88,82,90,28.44,77.63,6.21,216.82,banana
105,72,80,27.2,84.29,5.77,163.31,banana
101,75,86,27.49,73.66,6.72,159.98,banana
26,29,31,22.65,64.97,6.81,65.77,uva
22,25,41,22.36,62.69,7.0,32.21,uva
37,33,54,26.16,48.91,6.52,28.56,uva
32,33,52,22.85,53.08,6.85,39.12,uva
55,18,46,27.05,55.04,6.73,51.06,uva
33,39,27,26.07,46.46,6.71,49.27,uva
40,18,48,27.05,46.82,6.87,43.45,uva
39,30,39,23.98,65.83,6.73,77.99,uva
22,23,48,25.97,57.13,6.69,59.98,uva
22,34,52,22.1,52.18,6.89,49.08,uva
34,44,43,22.28,51.11,7.06,55.47,uva
28,39,56,21.8,43.8,7.15,42.88,uva
42,16,52,20.58,59.38,6.8,36.15,uva
30,34,45,24.17,66.86,6.25,100.43,uva
36,23,34,22.62,60.53,6.76,97.78,uva
20,29,34,23.73,60.32,6.65,-5.11,uva
36,33,48,25.47,48.57,7.04,89.81,uva
17,32,40,22.84,57.09,6.63,43.11,uva
35,22,36,24.36,48.11,7.03,71.56,uva
17,25,54,21.04,52.21,6.96,79.58,uva
32,25,56,26.48,60.87,6.83,39.79,uva
26,33,48,25.8,58.9,6.27,86.3,uva
25,27,47,26.99,73.66,7.01,55.42,uva
40,36,42,26.59,56.38,6.97,76.65,uva
39,35,40,21.88,48.4,6.95,79.47,uva
39,41,44,24.34,48.45,6.66,77.39,uva
43,27,44,19.96,52.86,7.11,74.38,uva
40,30,45,21.68,59.19,6.95,72.3,uva
29,14,53,22.04,49.82,7.04,50.2,uva
45,34,50,20.27,62.27,6.89,50.77,uva
36,17,48,20.94,46.88,6.27,87.82,uva
28,40,40,19.59,48.3,7.23,56.1,uva
29,31,49,25.23,63.69,6.67,26.85,uva
30,31,37,21.09,57.06,6.78,60.82,uva
27,28,37,24.78,61.21,6.15,36.76,uva
